,Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
0,4,500,0,OR_Tools,0.2981442080000001,979500.0
1,4,500,1,OR_Tools,0.3547812499999985,983450.0
2,4,500,2,OR_Tools,0.25175716700000095,981100.0
3,4,500,3,OR_Tools,0.2406976250000028,980275.0
4,4,500,4,OR_Tools,0.22196420800000283,980100.0
5,4,500,5,OR_Tools,0.3140983750000004,976925.0
6,4,500,6,OR_Tools,0.272433417000002,982775.0
7,4,500,7,OR_Tools,0.273070624999999,982050.0
8,4,500,8,OR_Tools,0.2584333749999992,979950.0
9,4,500,9,OR_Tools,0.2877599169999989,978075.0
10,4,500,10,OR_Tools,0.3290651670000031,981125.0
11,4,500,11,OR_Tools,0.3066783330000007,982825.0
12,4,500,12,OR_Tools,0.3009862500000011,981050.0
13,4,500,13,OR_Tools,0.25023704200000196,978500.0
14,4,500,14,OR_Tools,0.1916735830000036,977550.0
15,4,500,15,OR_Tools,0.23209129199999978,981950.0
16,4,500,16,OR_Tools,0.23133545800000377,981150.0
17,4,500,17,OR_Tools,0.251288584000001,983600.0
18,4,500,18,OR_Tools,0.19604958400000072,974675.0
19,4,500,19,OR_Tools,0.23762724999999563,982400.0
